Age,High,Low,Medium,UQ,LQ,Count,Mean,Std
18,42000,42000,42000.0,42000.0,42000.0,1,42000.0,0.0
19,26000,14000,20000.0,23000.0,17000.0,2,20000.0,6000.0
20,32000,30000,31000.0,31500.0,30500.0,2,31000.0,1000.0
21,57000,28000,42500.0,49750.0,35250.0,2,42500.0,14500.0
22,60000,22000,30000.0,34000.0,28000.0,24,31916.666666666668,7878.857080115675
23,63000,20000,29500.0,32000.0,26250.0,78,30717.94871794872,7862.434926390751
24,90000,14000,30000.0,35000.0,27000.0,88,31625.0,10540.304139996928
25,70000,22000,31000.0,35000.0,27000.0,91,33890.10989010989,10493.797801349921
26,91000,22000,31500.0,38000.0,27750.0,84,34964.28571428572,11153.097400841305
27,79000,23000,33000.0,40000.0,28000.0,83,35698.79518072289,10112.303063457191
28,95000,20000,32000.0,40000.0,28000.0,70,35428.57142857143,12372.286344397104
29,80000,15000,36000.0,46750.0,30000.0,36,40694.444444444445,14707.93331740173
30,80000,23000,37000.0,42000.0,32000.0,33,40121.21212121212,13102.75838587589
31,80000,11000,40000.0,50000.0,34250.0,26,43076.92307692308,14182.662972590262
32,99000,30000,37000.0,47000.0,33000.0,16,42250.0,16114.82236948332
33,47000,27000,40500.0,43250.0,32500.0,12,38500.0,6652.0673478250355
34,65000,11000,43500.0,50750.0,39500.0,16,42750.0,15856.78088389948
35,60000,20000,36500.0,38000.0,28750.0,10,35300.0,10536.12832116238
36,80000,25000,40000.0,57500.0,35000.0,7,47142.857142857145,17504.518367133274
37,86000,25000,51000.0,74750.0,29500.0,4,53250.0,25887.9798362097
38,40000,40000,40000.0,40000.0,40000.0,1,40000.0,0.0
39,50000,50000,50000.0,50000.0,50000.0,1,50000.0,0.0
40,60000,13000,36500.0,48250.0,24750.0,2,36500.0,23500.0
Age,High,Low,Medium,UQ,LQ,Count,Mean,Std
3,26000,26000,26000.0,26000.0,26000.0,1,26000.0,0.0
18,42000,42000,42000.0,42000.0,42000.0,1,42000.0,0.0
19,30000,26000,28000.0,29000.0,27000.0,2,28000.0,2000.0
20,32000,30000,31000.0,31500.0,30500.0,2,31000.0,1000.0
21,57000,28000,37000.0,47000.0,32500.0,3,40666.666666666664,12119.772641798561
22,70000,22000,30000.0,34000.0,28000.0,26,33846.153846153844,11558.188265309203
23,75000,5000,29000.0,32000.0,26250.0,86,30651.162790697676,9096.085845993608
24,90000,5000,30000.0,35000.0,27000.0,97,31608.24742268041,11466.272101147126
25,70000,8000,31000.0,36750.0,27000.0,102,33941.17647058824,10568.00900369561
26,91000,22000,32000.0,38500.0,28000.0,92,35532.608695652176,11373.549680075335
27,320000,5000,33000.0,40000.0,28000.0,97,38113.40206185567,31044.987738501477
28,200000,5000,33000.0,40000.0,28000.0,73,37479.45205479452,22957.44102311695
29,600000,22000,36000.0,50000.0,32000.0,37,60000.0,92893.42920351896
30,1500000,23000,38500.0,43500.0,32750.0,40,78500.0,228146.66335495684
31,110000,2000,41000.0,51500.0,34250.0,30,45533.333333333336,19116.71752390794
32,99000,30000,37000.0,47500.0,33000.0,16,42375.0,16158.87913810856
33,47000,27000,40500.0,43250.0,32500.0,12,38500.0,6652.0673478250355
34,120000,24000,46500.0,62000.0,40250.0,18,54388.88888888889,23800.417570774043
35,60000,20000,36500.0,38000.0,28750.0,10,35300.0,10536.12832116238
36,80000,5000,40000.0,56250.0,35500.0,8,43750.0,20583.67071248469
37,86000,3000,31000.0,71000.0,25000.0,5,43200.0,30662.02863477888
38,40000,40000,40000.0,40000.0,40000.0,1,40000.0,0.0
39,50000,50000,50000.0,50000.0,50000.0,1,50000.0,0.0
40,130000,60000,95000.0,112500.0,77500.0,2,95000.0,35000.0
Age,High,Low,Medium,UQ,LQ,Count,Mean,Std
3,26000,26000,26000.0,26000.0,26000.0,1,26000.0,0.0
18,42000,42000,42000.0,42000.0,42000.0,1,42000.0,0.0
19,30000,26000,28000.0,29000.0,27000.0,2,28000.0,2000.0
20,32000,30000,31000.0,31500.0,30500.0,2,31000.0,1000.0
21,57000,28000,37000.0,47000.0,32500.0,3,40666.666666666664,12119.772641798561
22,70000,22000,30000.0,34000.0,28000.0,26,33846.153846153844,11558.188265309203
23,75000,5000,29000.0,32000.0,26250.0,86,30651.162790697676,9096.085845993608
24,90000,5000,30000.0,35000.0,27000.0,97,31608.24742268041,11466.272101147126
25,70000,8000,31000.0,36500.0,27000.0,103,33873.78640776699,10538.583397783983
26,91000,22000,32000.0,38500.0,28000.0,92,35532.608695652176,11373.549680075335
27,320000,5000,33000.0,40000.0,28000.0,97,38113.40206185567,31044.987738501477
28,200000,5000,33000.0,40000.0,28000.0,73,37479.45205479452,22957.44102311695
29,600000,22000,36000.0,50000.0,32000.0,37,60000.0,92893.42920351896
30,1500000,23000,38500.0,43500.0,32750.0,40,78500.0,228146.66335495684
31,110000,2000,41000.0,51500.0,34250.0,30,45533.333333333336,19116.71752390794
32,99000,30000,37000.0,47500.0,33000.0,16,42375.0,16158.87913810856
33,47000,27000,40500.0,43250.0,32500.0,12,38500.0,6652.0673478250355
34,120000,24000,46500.0,62000.0,40250.0,18,54388.88888888889,23800.417570774043
35,60000,20000,36500.0,38000.0,28750.0,10,35300.0,10536.12832116238
36,80000,5000,40000.0,56250.0,35500.0,8,43750.0,20583.67071248469
37,86000,3000,31000.0,71000.0,25000.0,5,43200.0,30662.02863477888
38,40000,40000,40000.0,40000.0,40000.0,1,40000.0,0.0
39,50000,50000,50000.0,50000.0,50000.0,1,50000.0,0.0
40,130000,60000,95000.0,112500.0,77500.0,2,95000.0,35000.0
Age,High,Low,Medium,UQ,LQ,Count,Mean,Std
21,57000,28000,37000.0,47000.0,32500.0,3,40666.666666666664,12119.772641798561
22,70000,22000,30000.0,34000.0,28000.0,26,33846.153846153844,11558.188265309203
23,75000,5000,29000.0,32000.0,26250.0,86,30651.162790697676,9096.085845993608
24,90000,5000,30000.0,35000.0,27000.0,97,31608.24742268041,11466.272101147126
25,70000,8000,31000.0,36500.0,27000.0,103,33873.78640776699,10538.583397783983
26,91000,22000,32000.0,38500.0,28000.0,92,35532.608695652176,11373.549680075335
27,320000,5000,33000.0,40000.0,28000.0,97,38113.40206185567,31044.987738501477
28,200000,5000,33000.0,40000.0,28000.0,74,37918.91891891892,23108.882553799907
29,600000,22000,36000.0,50000.0,32000.0,37,60000.0,92893.42920351896
30,1500000,23000,39000.0,45000.0,33000.0,41,77926.82926829268,225376.36708662685
31,110000,2000,41000.0,51500.0,34250.0,30,45533.333333333336,19116.71752390794
32,99000,30000,37000.0,47500.0,33000.0,16,42375.0,16158.87913810856
33,47000,27000,40500.0,43250.0,32500.0,12,38500.0,6652.0673478250355
34,120000,24000,46500.0,62000.0,40250.0,18,54388.88888888889,23800.417570774043
35,60000,20000,36500.0,38000.0,28750.0,10,35300.0,10536.12832116238
36,80000,5000,40000.0,56250.0,35500.0,8,43750.0,20583.67071248469
37,86000,3000,31000.0,71000.0,25000.0,5,43200.0,30662.02863477888
